순위,관광지ID,관광지명,분류
57,1c561a943c68ee929fd365d7597f940c,DMZ생생누리,전시시설
58,33642af7db41e92b196068bd27e1e357,콩치노콩크리트,기타문화관광지
59,6410680407dae985a4da7fbc76d944fa,파주NFC,기타레저스포츠
60,a41e67d5eda4148f550121b1a7d76792,구 적성버스공용터미널,교통시설
61,25b9b4eadea9543fef98c9ce4674583c,교하체육공원,도시공원
62,3312bfcc956e4a9c2d85a0ea20b45415,호텔뷰티풀,호텔
63,6fa2aa22c0de9d24cf98fe0096ea5feb,호텔시에나,호텔
63,b0d9f0a100c3f2bb7b28837a82740dc2,퍼스트가든빛축제,기타문화관광지
65,ea9af19872ea6f89502ae63c8b83367a,명필름아트센터,기타문화관광지
66,14b6f94c5dcda980a9100562475d6a30,오블라디풀빌라,펜션/민박
67,d80e1b8c379a799fdd353e52749a83a6,미즈호텔,모텔
68,ffaa593b638f70053ceed146fbe7c76e,판문점,기타관광
68,750985c562e39bebf6af094dbfc0a121,파주삼릉,역사유적지
70,d38b03ce3f2dab83468c6b25e62298a9,운정건강공원,도시공원
71,0c6095f0d9f62f7b39aa1e14cd72a2ba,광탄낚시레저타운,수상레저스포츠
72,abe4f93a90270bd6dc48248eaa06937d,에이스볼파크야구장,레저스포츠시설
73,e3eb11d5fc8791b1c6a6efe4d62ae5ba,발랑저수지,자연경관(하천/해양)
74,046c8d92a8e2298c2f5755a455d64149,평화랜드,테마공원
75,7cb02cfaa4a6b43d826fa840a7cbdeff,CGV파주문산,공연시설
76,5ba58956030aee3e1bff9b33349d5e30,힐즈호텔,호텔
77,14082994bcfa860b85123af88a96614d,퇴골계곡,자연경관(산)
78,1dbb14fa93954417628146ea816c62a5,소울원,테마공원
79,453c3f882ce9dc7cd2d85c22f40c37cd,칼튼호텔,모텔
79,1b9928eeaf2065c6406dca7fd58517c9,마장호수,자연경관(하천/해양)
81,d24e5f4d09f3d98cbf2353816aa38fa2,웨스트힐호텔,호텔
82,a59e91fcc4ddff3b4af6bad00cbb88af,애룡호,자연경관(하천/해양)
83,e03bd741ad8e02f4bededc7d785a224e,쥬라리움파주점,테마공원
84,0f3d8c6ee51560fd404daedea8769c74,황포돛배나루터,기타관광
85,da5659c6a6cae312cf98d95bdbc00af6,운정체육공원,도시공원
86,4eb4db9a415a5637a8e0c2c55e6beb3a,파주가야랜드,웰니스관광
87,e8a59e615752b49be6eac5e5f6ed1154,파인빌골프클럽,육상레저스포츠
88,99182473f2c188c1126011e920708caf,소도호텔,모텔
88,db7f14a7cc7dce098970ccac815c9ccc,한옥체험마을살림채,펜션/민박
90,e2ef2bf062004358fc41066d7e6b9918,마리호텔,호텔
91,6a085bfa93c4c00144b4127262d985f7,임진강역,교통시설
92,c6abb28f2eb2aff78336127606ad3bea,이채쇼핑몰,쇼핑몰
93,c821a7f19ce56bc0a7cd7777a19835b1,파주팜랜드,기타관광
94,960a133e5e452ad72bc27a9701c308bd,메가박스파주금촌,공연시설
95,f78416774c6b489e23b5aa6b84c8fce4,파주이이유적,역사유적지
96,c7c1a483d07c360aee06dafe184b86c9,화수목호텔,호텔
96,13ec13a2c14c8c2d0bbd645c919d63f1,파주메이트호텔,호텔
98,fad47b7f9ff375ff49586fc3c8acd775,파주파비뇽아울렛,쇼핑몰
99,394267994d84ed879274bf65b8ed19fe,율곡습지공원,도시공원
100,e9f42735eb7b23daadffee64c70dc06d,파만장,기타레저스포츠
