연도,월,주차,EXAMIN_BEGIN_DE,TOUR_TOT_CT_VALUE,TOUR_LDGMNT_CT_VALUE,TOUR_FOOD_CT_VALUE,TOUR_TRNSPORT_CT_VALUE,TOUR_SHOPNG_CT_VALUE,TOUR_ACTVTY_CT_VALUE,TOUR_ETC_CT_VALUE,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,TOUR_COM_NMPR_NM,TOUR_PD_VALUE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,HSHLD_INCOME_DGREE_NM
2024년,1월,1주차,20240101,20~30만원 미만,1만원 미만,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1만원 미만,경상남도,구체적인 지역 모름,혼자서,1박 2일,M,50대,기혼,자녀 유아&성장(막내 입학전~초등생),자영업,700만원 이상
2024년,1월,1주차,20240101,40만원 이상,10만원 이상,10만원 이상,5~7만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,경상북도,울릉군/울진군,5명 이상,3박 4일,F,30대,미혼,미혼,대학/대학원생,700만원 이상
2024년,1월,1주차,20240101,10~20만원 미만,3~5만원 미만,7~10만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,경상북도,울진군,4명,1박 2일,F,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,500~700만원 미만
2024년,1월,1주차,20240101,40만원 이상,10만원 이상,5~7만원 미만,1만원 미만,5~7만원 미만,1만원 미만,1만원 미만,강원도,홍천군,2명,2박 3일,M,40대,기혼,신혼기(자녀 없음),판매/서비스직,700만원 이상
2024년,1월,1주차,20240101,30~40만원 미만,10만원 이상,10만원 이상,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,제주도,구좌읍/서귀포시(시내동)/성산읍/제주시(시내동)/조천읍/한림읍,3명,2박 3일,F,30대,미혼,미혼,판매/서비스직,300~500만원 미만
2024년,1월,1주차,20240101,30~40만원 미만,7~10만원 미만,5~7만원 미만,10만원 이상,1만원 미만,7~10만원 미만,1만원 미만,강원도,속초시,2명,6박 7일 이상,M,50대,기혼,자녀 성인(막내 대학),기능/숙련/일반작업직,500~700만원 미만
2024년,1월,1주차,20240101,10~20만원 미만,7~10만원 미만,3~5만원 미만,3~5만원 미만,1만원 미만,1만원 미만,1만원 미만,경상북도,경산시,2명,1박 2일,M,30대,미혼,미혼,사무/기술직,300~500만원 미만
2024년,1월,1주차,20240101,모름,모름,모름,모름,모름,모름,모름,전라남도,나주시,2명,1박 2일,M,50대,기혼,자녀 성인(막내 대학),기능/숙련/일반작업직,700만원 이상
2024년,1월,1주차,20240101,10만원 미만,1만원 미만,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,1만원 미만,경상북도,경주시,4명,1박 2일,F,30대,미혼,미혼,사무/기술직,모름
2024년,1월,1주차,20240101,10~20만원 미만,1~3만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,3~5만원 미만,1만원 미만,경상북도,문경시,4명,2박 3일,M,60대 이상,기혼,자녀 성인(막내 대학),기타/무직,500~700만원 미만
2024년,1월,1주차,20240101,40만원 이상,10만원 이상,10만원 이상,7~10만원 미만,1만원 미만,1만원 미만,1만원 미만,강원도,강릉시/고성군/양양군,3명,3박 4일,M,30대,미혼,미혼,사무/기술직,300~500만원 미만
2024년,1월,1주차,20240101,30~40만원 미만,10만원 이상,7~10만원 미만,1만원 미만,1만원 미만,1~3만원 미만,1만원 미만,강원도,강릉시,2명,1박 2일,F,20대,미혼,미혼,기타/무직,700만원 이상
2024년,1월,1주차,20240101,20~30만원 미만,3~5만원 미만,5~7만원 미만,10만원 이상,1만원 미만,1만원 미만,1만원 미만,강원도,강릉시,2명,1박 2일,M,20대,미혼,미혼,사무/기술직,700만원 이상
2024년,1월,1주차,20240101,10~20만원 미만,1만원 미만,5~7만원 미만,5~7만원 미만,1만원 미만,1만원 미만,1만원 미만,경상남도,합천군,4명,1박 2일,M,30대,기혼,자녀 유아&성장(막내 입학전~초등생),기능/숙련/일반작업직,300~500만원 미만
2024년,1월,1주차,20240101,10~20만원 미만,5~7만원 미만,5~7만원 미만,3~5만원 미만,1만원 미만,1~3만원 미만,1만원 미만,경상북도,영천시,4명,1박 2일,M,40대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,500~700만원 미만
2024년,1월,1주차,20240101,10~20만원 미만,1~3만원 미만,1~3만원 미만,3~5만원 미만,3~5만원 미만,1만원 미만,1만원 미만,강원도,고성군/속초시,2명,1박 2일,M,50대,기혼,자녀 성인(막내 대학),사무/기술직,700만원 이상
2024년,1월,1주차,20240101,10만원 미만,3~5만원 미만,1만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,1만원 미만,강원도,영월군,3명,4박 5일,M,30대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,500~700만원 미만
2024년,1월,1주차,20240101,20~30만원 미만,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1만원 미만,1만원 미만,부산시,모름,2명,1박 2일,F,30대,기혼,신혼기(자녀 없음),사무/기술직,300만원 미만
2024년,1월,1주차,20240101,10~20만원 미만,5~7만원 미만,10만원 이상,1만원 미만,1만원 미만,3~5만원 미만,1만원 미만,전라북도,군산시,2명,1박 2일,F,40대,기혼,자녀 성장(막내 중고생),기타/무직,700만원 이상
2024년,1월,1주차,20240101,20~30만원 미만,10만원 이상,1~3만원 미만,3~5만원 미만,5~7만원 미만,1만원 미만,1만원 미만,부산시,모름,2명,2박 3일,F,40대,기혼,신혼기(자녀 없음),사무/기술직,700만원 이상
2024년,1월,1주차,20240101,20~30만원 미만,5~7만원 미만,5~7만원 미만,3~5만원 미만,1~3만원 미만,3~5만원 미만,1만원 미만,전라남도,여수시,5명 이상,1박 2일,F,50대,기혼,자녀 성인(막내 대학),전업주부,700만원 이상
2024년,1월,1주차,20240101,20~30만원 미만,10만원 이상,1만원 미만,1만원 미만,1만원 미만,7~10만원 미만,1만원 미만,서울시,모름,모름,1박 2일,F,40대,미혼,미혼,사무/기술직,500~700만원 미만
2024년,1월,1주차,20240101,모름,모름,모름,모름,모름,모름,모름,제주도,애월읍,5명 이상,2박 3일,M,20대,미혼,미혼,사무/기술직,모름
2024년,1월,1주차,20240101,10~20만원 미만,3~5만원 미만,3~5만원 미만,5~7만원 미만,1만원 미만,1~3만원 미만,1만원 미만,전라남도,여수시,혼자서,1박 2일,M,30대,미혼,미혼,사무/기술직,500~700만원 미만
2024년,1월,1주차,20240101,20~30만원 미만,1만원 미만,10만원 이상,1~3만원 미만,3~5만원 미만,5~7만원 미만,1만원 미만,전라북도,군산시,2명,2박 3일,F,50대,기혼,자녀 성장(막내 중고생),전업주부,300~500만원 미만
2024년,1월,1주차,20240101,30~40만원 미만,1만원 미만,10만원 이상,10만원 이상,10만원 이상,1만원 미만,1만원 미만,충청남도,서산시,2명,2박 3일,M,60대 이상,기혼,자녀 독립(막내 결혼),기타/무직,500~700만원 미만
2024년,1월,1주차,20240101,10~20만원 미만,7~10만원 미만,3~5만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,경상북도,포항시,4명,1박 2일,M,30대,미혼,미혼,사무/기술직,700만원 이상
2024년,1월,1주차,20240101,모름,모름,모름,모름,모름,모름,모름,경상북도,구미시/김천시,4명,1박 2일,F,60대 이상,기타,자녀 독립(막내 결혼),기타/무직,700만원 이상
2024년,1월,1주차,20240101,10~20만원 미만,5~7만원 미만,3~5만원 미만,1만원 미만,1만원 미만,1~3만원 미만,1만원 미만,강원도,양양군/영월군/횡성군,2명,1박 2일,M,50대,미혼,미혼,기능/숙련/일반작업직,300~500만원 미만
2024년,1월,1주차,20240101,모름,모름,모름,모름,모름,모름,모름,울산시,모름,5명 이상,1박 2일,F,40대,미혼,미혼,판매/서비스직,300만원 미만
2024년,1월,1주차,20240101,40만원 이상,5~7만원 미만,10만원 이상,10만원 이상,1만원 미만,1만원 미만,1~3만원 미만,제주도,서귀포시(시내동)/성산읍,5명 이상,2박 3일,M,50대,기혼,자녀 성인(막내 대학),사무/기술직,700만원 이상
2024년,1월,1주차,20240101,40만원 이상,1만원 미만,10만원 이상,10만원 이상,1~3만원 미만,3~5만원 미만,1~3만원 미만,경상북도,경산시/경주시/상주시/성주군/영천시,2명,4박 5일,M,50대,기혼,자녀 유아&성장(막내 입학전~초등생),경영/관리/전문직,700만원 이상
2024년,1월,1주차,20240101,40만원 이상,10만원 이상,10만원 이상,10만원 이상,5~7만원 미만,5~7만원 미만,1만원 미만,서울시,모름,2명,1박 2일,F,30대,미혼,미혼,판매/서비스직,700만원 이상
2024년,1월,1주차,20240101,10~20만원 미만,3~5만원 미만,3~5만원 미만,1~3만원 미만,3~5만원 미만,3~5만원 미만,1만원 미만,전라북도,군산시,2명,1박 2일,M,60대 이상,기혼,자녀 성인(막내 대학),기능/숙련/일반작업직,300~500만원 미만
2024년,1월,1주차,20240101,10~20만원 미만,5~7만원 미만,3~5만원 미만,3~5만원 미만,1만원 미만,1~3만원 미만,1만원 미만,전라남도,순천시,2명,1박 2일,M,20대,미혼,미혼,기타/무직,700만원 이상
2024년,1월,1주차,20240101,20~30만원 미만,1만원 미만,10만원 이상,3~5만원 미만,7~10만원 미만,1만원 미만,1만원 미만,전라북도,전주시,혼자서,1박 2일,M,50대,미혼,미혼,기능/숙련/일반작업직,300~500만원 미만
2024년,1월,1주차,20240101,10~20만원 미만,5~7만원 미만,1~3만원 미만,1만원 미만,1만원 미만,3~5만원 미만,1만원 미만,부산시,모름,2명,2박 3일,F,40대,기혼,자녀 유아&성장(막내 입학전~초등생),전업주부,500~700만원 미만
2024년,1월,1주차,20240101,10~20만원 미만,3~5만원 미만,3~5만원 미만,1~3만원 미만,1만원 미만,1~3만원 미만,1만원 미만,경상남도,거창군/합천군,4명,2박 3일,F,60대 이상,기혼,신혼기(자녀 없음),자영업,300~500만원 미만
2024년,1월,1주차,20240101,30~40만원 미만,1만원 미만,10만원 이상,1만원 미만,1만원 미만,5~7만원 미만,5~7만원 미만,충청남도,세종특별자치시,2명,1박 2일,M,50대,기혼,자녀 성인(막내 대학),기능/숙련/일반작업직,700만원 이상
2024년,1월,1주차,20240101,모름,모름,모름,모름,모름,모름,모름,경기도,안산시,모름,1박 2일,M,30대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,700만원 이상
2024년,1월,1주차,20240101,10~20만원 미만,3~5만원 미만,3~5만원 미만,1~3만원 미만,1~3만원 미만,1~3만원 미만,1만원 미만,전라남도,해남군,3명,1박 2일,M,30대,기혼,자녀 유아&성장(막내 입학전~초등생),사무/기술직,500~700만원 미만
