RESPOND_ID,EXAMIN_BEGIN_DE,TOUR_TOT_CT_VALUE,TOUR_LDGMNT_CT_VALUE,TOUR_FOOD_CT_VALUE,TOUR_TRNSPORT_CT_VALUE,TOUR_SHOPNG_CT_VALUE,TOUR_ACTVTY_CT_VALUE,TOUR_ETC_CT_VALUE,TOUR_CTPRVN_NM,TOUR_SIGNGU_NM,TOUR_COM_NMPR_NM,TOUR_PD_VALUE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,MRRG_AT_NM,CHLDRN_TY_NM,OCCP_NM,HSHLD_INCOME_DGREE_NM
"53326505","20241118","모름","모름","모름","모름","모름","모름","모름","충청북도","단양군","2명","1박 2일","F","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","전업주부","700만원 이상"
"53326520","20241118","10만원 미만","1~3만원 미만","1~3만원 미만","1~3만원 미만","1~3만원 미만","1~3만원 미만","1만원 미만","전라북도","전주시","4명","1박 2일","M","50대","기혼","자녀 성인(막내 대학)","경영/관리/전문직","700만원 이상"
"53327011","20241118","20~30만원 미만","7~10만원 미만","7~10만원 미만","1~3만원 미만","1~3만원 미만","1~3만원 미만","1만원 미만","전라남도","순천시/여수시","5명 이상","2박 3일","F","50대","기혼","자녀 성인(막내 대학)","전업주부","500~700만원 미만"
"53327029","20241118","20~30만원 미만","5~7만원 미만","5~7만원 미만","1~3만원 미만","1만원 미만","7~10만원 미만","1만원 미만","강원도","강릉시","4명","1박 2일","M","50대","기혼","자녀 성장(막내 중고생)","사무/기술직","모름"
"53327037","20241118","30~40만원 미만","10만원 이상","10만원 이상","5~7만원 미만","1만원 미만","3~5만원 미만","1만원 미만","전라남도","여수시","2명","1박 2일","F","40대","기혼","자녀 유아&성장(막내 입학전~초등생)","경영/관리/전문직","300~500만원 미만"
"53327548","20241118","40만원 이상","7~10만원 미만","10만원 이상","3~5만원 미만","1만원 미만","10만원 이상","5~7만원 미만","제주도","서귀포시(시내동)","5명 이상","2박 3일","M","50대","기혼","자녀 성인(막내 대학)","자영업","모름"
"53327912","20241118","10~20만원 미만","1만원 미만","3~5만원 미만","3~5만원 미만","1만원 미만","1~3만원 미만","1~3만원 미만","전라남도","여수시","3명","3박 4일","M","30대","기혼","자녀 유아&성장(막내 입학전~초등생)","사무/기술직","500~700만원 미만"
"53328150","20241118","모름","모름","모름","모름","모름","모름","모름","부산시","모름","2명","3박 4일","M","40대","기혼","신혼기(자녀 없음)","사무/기술직","700만원 이상"
"53328151","20241118","20~30만원 미만","5~7만원 미만","5~7만원 미만","10만원 이상","1만원 미만","1만원 미만","1만원 미만","제주도","애월읍/한경면/한림읍","2명","2박 3일","F","30대","기혼","신혼기(자녀 없음)","전업주부","300~500만원 미만"
"53328227","20241118","10만원 미만","1만원 미만","1만원 미만","5~7만원 미만","1만원 미만","1만원 미만","1만원 미만","전라남도","영광군","2명","1박 2일","F","40대","기혼","자녀 성장(막내 중고생)","사무/기술직","500~700만원 미만"
"53328400","20241118","30~40만원 미만","10만원 이상","10만원 이상","5~7만원 미만","1만원 미만","1만원 미만","5~7만원 미만","충청남도","보령시","3명","3박 4일","F","30대","기혼","자녀 유아&성장(막내 입학전~초등생)","전업주부","모름"
