기간,기초지자체,중분류,소비액(천원) (내국인),전년동기 소비액 (내국인),소비액(천원) (외국인)
22.10~23.09,수원시 장안구,관광총소비,532407897.0,470214854.0,
22.10~23.09,수원시 팔달구,관광총소비,1345030919.0,1253859391.0,
22.10~23.09,시흥시,관광총소비,1399755638.0,1354642104.0,
22.10~23.09,안산시 단원구,관광총소비,1149474902.0,1033124644.0,
22.10~23.09,안산시 상록구,관광총소비,568166952.0,555409439.0,
22.10~23.09,안성시,관광총소비,1110322313.0,1078130514.0,
22.10~23.09,안양시 동안구,관광총소비,1223157246.0,1153093209.0,
22.10~23.09,안양시 만안구,관광총소비,426070144.0,396721224.0,
22.10~23.09,양주시,관광총소비,630188290.0,609258803.0,
22.10~23.09,양평군,관광총소비,389399189.0,377750573.0,
22.10~23.09,여주시,관광총소비,1119933684.0,1051906833.0,
22.10~23.09,연천군,관광총소비,92535334.0,89150127.0,
22.10~23.09,오산시,관광총소비,514517795.0,485233927.0,
22.10~23.09,용인시 기흥구,관광총소비,1529371256.0,1453512690.0,
22.10~23.09,용인시 수지구,관광총소비,999365956.0,969652524.0,
22.10~23.09,용인시 처인구,관광총소비,1166203619.0,1115189863.0,
22.10~23.09,의왕시,관광총소비,625017842.0,617276774.0,
22.10~23.09,의정부시,관광총소비,1032807787.0,984410283.0,
22.10~23.09,이천시,관광총소비,1002261700.0,1017675111.0,
22.10~23.09,파주시,관광총소비,1399765133.0,1374379780.0,
22.10~23.09,평택시,관광총소비,1347094017.0,1325665124.0,
22.10~23.09,포천시,관광총소비,742778250.0,706113411.0,
22.10~23.09,하남시,관광총소비,1555036706.0,1525293017.0,
22.10~23.09,화성시,관광총소비,2120064915.0,2052709611.0,
23.10~24.09,가평군,관광총소비,469395898.0,499963048.0,
23.10~24.09,경기도,관광총소비,,,2799582.0
23.10~24.09,경기도,관광총소비,,,8566024.0
23.10~24.09,경기도,관광총소비,,,44785694.0
23.10~24.09,경기도,관광총소비,,,36382885.0
23.10~24.09,경기도,관광총소비,,,8846230.0
23.10~24.09,경기도,관광총소비,,,21028472.0
23.10~24.09,경기도,관광총소비,,,129489421.0
23.10~24.09,경기도,관광총소비,,,8105844.0
23.10~24.09,경기도,관광총소비,,,2397813.0
23.10~24.09,경기도,관광총소비,,,13907973.0
23.10~24.09,경기도,관광총소비,,,46430636.0
23.10~24.09,경기도,관광총소비,,,3209767.0
23.10~24.09,경기도,관광총소비,,,698167.0
23.10~24.09,경기도,관광총소비,,,6027611.0
23.10~24.09,경기도,관광총소비,,,115142880.0
23.10~24.09,경기도,관광총소비,,,21431989.0
23.10~24.09,경기도,관광총소비,,,5764719.0
23.10~24.09,경기도,관광총소비,,,8628236.0
23.10~24.09,경기도,관광총소비,,,38381621.0
23.10~24.09,경기도,관광총소비,,,14979565.0
23.10~24.09,경기도,관광총소비,,,9265579.0
23.10~24.09,경기도,관광총소비,,,1978103.0
23.10~24.09,경기도,관광총소비,,,4209015.0
23.10~24.09,경기도,관광총소비,,,12460945.0
23.10~24.09,경기도,관광총소비,,,4400299.0
23.10~24.09,경기도,관광총소비,,,10919141.0
23.10~24.09,경기도,관광총소비,,,2969139.0
23.10~24.09,경기도,관광총소비,,,10683620.0
23.10~24.09,경기도,관광총소비,,,8590138.0
23.10~24.09,경기도,관광총소비,,,14640063.0
23.10~24.09,경기도,관광총소비,,,19095550.0
23.10~24.09,경기도,관광총소비,,,11931664.0
23.10~24.09,경기도,관광총소비,,,30759794.0
23.10~24.09,경기도,관광총소비,,,7378642.0
23.10~24.09,경기도,관광총소비,,,12555862.0
23.10~24.09,경기도,관광총소비,,,28774701.0
23.10~24.09,경기도,관광총소비,,,31037551.0
23.10~24.09,경기도,관광총소비,,,4598940.0
23.10~24.09,경기도,관광총소비,,,3160874.0
23.10~24.09,경기도,관광총소비,,,4507962.0
23.10~24.09,경기도,관광총소비,,,22336019.0
23.10~24.09,경기도,관광총소비,,,433864.0
23.10~24.09,경기도,관광총소비,,,5568977.0
23.10~24.09,경기도,관광총소비,,,2014606.0
23.10~24.09,고양시 덕양구,관광총소비,1648693022.0,1636314009.0,
23.10~24.09,고양시 일산동구,관광총소비,1230868114.0,1286125424.0,
23.10~24.09,고양시 일산서구,관광총소비,834825670.0,827067133.0,
23.10~24.09,과천시,관광총소비,183579514.0,171758533.0,
23.10~24.09,광명시,관광총소비,608392364.0,613655269.0,
23.10~24.09,광주시,관광총소비,830167596.0,831338951.0,
23.10~24.09,구리시,관광총소비,657624515.0,661316561.0,
23.10~24.09,군포시,관광총소비,383692772.0,388116666.0,
23.10~24.09,김포시,관광총소비,1412772703.0,1391426788.0,
23.10~24.09,남양주시,관광총소비,1483606946.0,1485724195.0,
23.10~24.09,동두천시,관광총소비,129598549.0,141357324.0,
