기간,기준년월,기초지자체,중분류,소비액(천원) (내국인),소비액(천원) (외국인)
21.10~22.09,202206,파주시,관광총소비,117779635.0,1330987.0
21.10~22.09,202206,파주시,기타관광쇼핑,16922709.0,408499.0
21.10~22.09,202206,파주시,기타레저,1751209.0,12628.0
21.10~22.09,202206,파주시,기타숙박,719452.0,38780.0
21.10~22.09,202206,파주시,대형쇼핑몰,30933197.0,587600.0
21.10~22.09,202206,파주시,레저용품쇼핑,1835379.0,6969.0
21.10~22.09,202206,파주시,렌터카,6095.0,650.0
21.10~22.09,202206,파주시,문화서비스,1001351.0,1338.0
21.10~22.09,202206,파주시,뷰티,1026971.0,9656.0
21.10~22.09,202206,파주시,여행업,58379.0,
21.10~22.09,202206,파주시,육상운송,17758282.0,57278.0
21.10~22.09,202206,파주시,의료관광,228036.0,21243.0
21.10~22.09,202206,파주시,일반외식업,27617912.0,110934.0
21.10~22.09,202206,파주시,제과음료업,6254089.0,25238.0
21.10~22.09,202206,파주시,캠핑장/펜션,50545.0,
21.10~22.09,202206,파주시,호텔,116436.0,17693.0
21.10~22.09,202207,파주시,골프장,11088788.0,37621.0
21.10~22.09,202207,파주시,관광유원시설,240866.0,1023.0
21.10~22.09,202207,파주시,관광총소비,119079880.0,1525944.0
21.10~22.09,202207,파주시,기타관광쇼핑,17663369.0,428282.0
21.10~22.09,202207,파주시,기타레저,1665665.0,12649.0
21.10~22.09,202207,파주시,기타숙박,897905.0,51781.0
21.10~22.09,202207,파주시,대형쇼핑몰,29372717.0,729416.0
21.10~22.09,202207,파주시,레저용품쇼핑,1636494.0,5180.0
21.10~22.09,202207,파주시,렌터카,11047.0,1670.0
21.10~22.09,202207,파주시,문화서비스,944789.0,2141.0
21.10~22.09,202207,파주시,뷰티,1048691.0,12422.0
21.10~22.09,202207,파주시,여행업,31965.0,52.0
21.10~22.09,202207,파주시,육상운송,18122918.0,26177.0
21.10~22.09,202207,파주시,의료관광,193377.0,27767.0
21.10~22.09,202207,파주시,일반외식업,29237332.0,131192.0
21.10~22.09,202207,파주시,제과음료업,6714958.0,36201.0
21.10~22.09,202207,파주시,캠핑장/펜션,73233.0,0.0
21.10~22.09,202207,파주시,호텔,135767.0,22371.0
21.10~22.09,202208,파주시,골프장,9483227.0,30183.0
21.10~22.09,202208,파주시,관광유원시설,325668.0,1663.0
21.10~22.09,202208,파주시,관광총소비,115504355.0,1446830.0
21.10~22.09,202208,파주시,기타관광쇼핑,17599838.0,298294.0
21.10~22.09,202208,파주시,기타레저,1842250.0,18629.0
21.10~22.09,202208,파주시,기타숙박,882070.0,42010.0
21.10~22.09,202208,파주시,대형쇼핑몰,29414363.0,729719.0
21.10~22.09,202208,파주시,레저용품쇼핑,1514770.0,5581.0
21.10~22.09,202208,파주시,렌터카,8594.0,
21.10~22.09,202208,파주시,문화서비스,945963.0,1447.0
21.10~22.09,202208,파주시,뷰티,1046479.0,27346.0
21.10~22.09,202208,파주시,여행업,51147.0,8.0
21.10~22.09,202208,파주시,육상운송,16656559.0,26299.0
21.10~22.09,202208,파주시,의료관광,182599.0,44382.0
21.10~22.09,202208,파주시,일반외식업,28435460.0,156367.0
21.10~22.09,202208,파주시,제과음료업,6967247.0,30020.0
21.10~22.09,202208,파주시,캠핑장/펜션,48620.0,
21.10~22.09,202208,파주시,호텔,99500.0,34883.0
21.10~22.09,202209,파주시,골프장,11502848.0,49953.0
21.10~22.09,202209,파주시,관광유원시설,479497.0,1134.0
21.10~22.09,202209,파주시,관광총소비,126297211.0,1566905.0
21.10~22.09,202209,파주시,기타관광쇼핑,18474866.0,315251.0
21.10~22.09,202209,파주시,기타레저,1792348.0,15759.0
21.10~22.09,202209,파주시,기타숙박,779327.0,26603.0
21.10~22.09,202209,파주시,대형쇼핑몰,37673443.0,845403.0
21.10~22.09,202209,파주시,레저용품쇼핑,1612099.0,8584.0
21.10~22.09,202209,파주시,렌터카,4427.0,
21.10~22.09,202209,파주시,문화서비스,665722.0,775.0
21.10~22.09,202209,파주시,뷰티,1057505.0,48808.0
21.10~22.09,202209,파주시,여행업,21109.0,
21.10~22.09,202209,파주시,육상운송,16847281.0,19221.0
21.10~22.09,202209,파주시,의료관광,245370.0,27949.0
21.10~22.09,202209,파주시,일반외식업,28142990.0,149365.0
21.10~22.09,202209,파주시,제과음료업,6862447.0,28327.0
21.10~22.09,202209,파주시,캠핑장/펜션,53060.0,20.0
21.10~22.09,202209,파주시,호텔,82872.0,29753.0
22.10~23.09,202210,파주시,골프장,13151862.0,49263.0
22.10~23.09,202210,파주시,관광유원시설,559814.0,1714.0
22.10~23.09,202210,파주시,관광총소비,149406584.0,2592974.0
22.10~23.09,202210,파주시,기타관광쇼핑,18705623.0,391297.0
22.10~23.09,202210,파주시,기타레저,2318836.0,16151.0
22.10~23.09,202210,파주시,기타숙박,851817.0,149995.0
22.10~23.09,202210,파주시,대형쇼핑몰,52970347.0,1502093.0
22.10~23.09,202210,파주시,레저용품쇼핑,1931777.0,9717.0
22.10~23.09,202210,파주시,렌터카,0.0,700.0
22.10~23.09,202210,파주시,문화서비스,488075.0,1095.0
22.10~23.09,202210,파주시,뷰티,1194052.0,137414.0
22.10~23.09,202210,파주시,여행업,25880.0,
22.10~23.09,202210,파주시,육상운송,17392176.0,29274.0
22.10~23.09,202210,파주시,의료관광,181134.0,36302.0
22.10~23.09,202210,파주시,일반외식업,32308578.0,200738.0
22.10~23.09,202210,파주시,제과음료업,7200593.0,40310.0
22.10~23.09,202210,파주시,캠핑장/펜션,70422.0,1603.0
22.10~23.09,202210,파주시,호텔,55599.0,25307.0
22.10~23.09,202211,파주시,골프장,9681651.0,24696.0
22.10~23.09,202211,파주시,관광유원시설,246024.0,975.0
22.10~23.09,202211,파주시,관광총소비,119065377.0,1981412.0
22.10~23.09,202211,파주시,기타관광쇼핑,17329277.0,298129.0
22.10~23.09,202211,파주시,기타레저,1563233.0,11886.0
22.10~23.09,202211,파주시,기타숙박,755453.0,118269.0
22.10~23.09,202211,파주시,대형쇼핑몰,37130714.0,1072851.0
22.10~23.09,202211,파주시,레저용품쇼핑,1872466.0,18457.0
22.10~23.09,202211,파주시,렌터카,4542.0,0.0
22.10~23.09,202211,파주시,문화서비스,399113.0,1247.0
22.10~23.09,202211,파주시,뷰티,1131666.0,141523.0
22.10~23.09,202211,파주시,여행업,12156.0,
22.10~23.09,202211,파주시,육상운송,16102853.0,19081.0
22.10~23.09,202211,파주시,의료관광,196864.0,30422.0
22.10~23.09,202211,파주시,일반외식업,26937209.0,193575.0
22.10~23.09,202211,파주시,제과음료업,5585698.0,32832.0
22.10~23.09,202211,파주시,캠핑장/펜션,53256.0,310.0
22.10~23.09,202211,파주시,호텔,63204.0,17157.0
22.10~23.09,202212,파주시,골프장,2447254.0,11914.0
22.10~23.09,202212,파주시,관광유원시설,187295.0,1269.0
22.10~23.09,202212,파주시,관광총소비,110618619.0,2097593.0
22.10~23.09,202212,파주시,기타관광쇼핑,16565382.0,402099.0
22.10~23.09,202212,파주시,기타레저,1401531.0,14713.0
22.10~23.09,202212,파주시,기타숙박,890207.0,98510.0
22.10~23.09,202212,파주시,대형쇼핑몰,36332802.0,1174935.0
22.10~23.09,202212,파주시,레저용품쇼핑,1704673.0,14279.0
22.10~23.09,202212,파주시,렌터카,315.0,1100.0
22.10~23.09,202212,파주시,문화서비스,702801.0,1801.0
22.10~23.09,202212,파주시,뷰티,1213794.0,107828.0
22.10~23.09,202212,파주시,여행업,30343.0,1540.0
22.10~23.09,202212,파주시,육상운송,16121689.0,27467.0
22.10~23.09,202212,파주시,의료관광,250426.0,22868.0
22.10~23.09,202212,파주시,일반외식업,26860096.0,169595.0
22.10~23.09,202212,파주시,제과음료업,5816089.0,34553.0
22.10~23.09,202212,파주시,캠핑장/펜션,44166.0,
22.10~23.09,202212,파주시,호텔,49756.0,13123.0
22.10~23.09,202301,파주시,골프장,1313914.0,6338.0
22.10~23.09,202301,파주시,관광유원시설,189211.0,734.0
22.10~23.09,202301,파주시,관광총소비,99139946.0,1609450.0
22.10~23.09,202301,파주시,기타관광쇼핑,16283743.0,301592.0
22.10~23.09,202301,파주시,기타레저,1370816.0,9135.0
22.10~23.09,202301,파주시,기타숙박,667486.0,114291.0
22.10~23.09,202301,파주시,대형쇼핑몰,30934629.0,897265.0
22.10~23.09,202301,파주시,레저용품쇼핑,1085115.0,5816.0
22.10~23.09,202301,파주시,렌터카,17938.0,
22.10~23.09,202301,파주시,문화서비스,674454.0,838.0
22.10~23.09,202301,파주시,뷰티,1227189.0,72334.0
22.10~23.09,202301,파주시,여행업,19078.0,
22.10~23.09,202301,파주시,육상운송,13950796.0,18495.0
22.10~23.09,202301,파주시,의료관광,174941.0,15564.0
22.10~23.09,202301,파주시,일반외식업,25133564.0,119937.0
22.10~23.09,202301,파주시,제과음료업,6003393.0,27767.0
22.10~23.09,202301,파주시,캠핑장/펜션,48774.0,
22.10~23.09,202301,파주시,호텔,44907.0,19344.0
22.10~23.09,202302,파주시,골프장,4170108.0,6718.0
22.10~23.09,202302,파주시,관광유원시설,258086.0,1501.0
22.10~23.09,202302,파주시,관광총소비,98611638.0,1310849.0
22.10~23.09,202302,파주시,기타관광쇼핑,13989431.0,246874.0
22.10~23.09,202302,파주시,기타레저,1436086.0,10083.0
22.10~23.09,202302,파주시,기타숙박,621540.0,75448.0
22.10~23.09,202302,파주시,대형쇼핑몰,31613008.0,724595.0
22.10~23.09,202302,파주시,레저용품쇼핑,1358343.0,5925.0
22.10~23.09,202302,파주시,렌터카,2492.0,0.0
22.10~23.09,202302,파주시,문화서비스,418863.0,658.0
22.10~23.09,202302,파주시,뷰티,1171624.0,53884.0
22.10~23.09,202302,파주시,여행업,39901.0,3082.0
22.10~23.09,202302,파주시,육상운송,12935552.0,9427.0
22.10~23.09,202302,파주시,의료관광,168021.0,21503.0
22.10~23.09,202302,파주시,일반외식업,24661125.0,107399.0
22.10~23.09,202302,파주시,제과음료업,5610587.0,30704.0
22.10~23.09,202302,파주시,캠핑장/펜션,111108.0,
22.10~23.09,202302,파주시,호텔,45765.0,13049.0
22.10~23.09,202303,파주시,골프장,9322580.0,27362.0
22.10~23.09,202303,파주시,관광유원시설,402666.0,1494.0
22.10~23.09,202303,파주시,관광총소비,120127774.0,2246030.0
22.10~23.09,202303,파주시,기타관광쇼핑,16117860.0,365330.0
22.10~23.09,202303,파주시,기타레저,1506269.0,20076.0
22.10~23.09,202303,파주시,기타숙박,628752.0,148389.0
22.10~23.09,202303,파주시,대형쇼핑몰,39840218.0,1285706.0
22.10~23.09,202303,파주시,레저용품쇼핑,1770144.0,25832.0
22.10~23.09,202303,파주시,렌터카,12976.0,1330.0
22.10~23.09,202303,파주시,문화서비스,422735.0,640.0
22.10~23.09,202303,파주시,뷰티,1174854.0,100754.0
22.10~23.09,202303,파주시,여행업,129162.0,
22.10~23.09,202303,파주시,육상운송,14345230.0,8676.0
22.10~23.09,202303,파주시,의료관광,239505.0,30303.0
22.10~23.09,202303,파주시,일반외식업,27677943.0,181913.0
22.10~23.09,202303,파주시,제과음료업,6409584.0,39572.0
22.10~23.09,202303,파주시,캠핑장/펜션,77958.0,50.0
22.10~23.09,202303,파주시,호텔,49336.0,8603.0
22.10~23.09,202304,파주시,골프장,11031039.0,47918.0
22.10~23.09,202304,파주시,관광유원시설,439883.0,1948.0
22.10~23.09,202304,파주시,관광총소비,119340331.0,2756724.0
22.10~23.09,202304,파주시,기타관광쇼핑,16367784.0,499174.0
22.10~23.09,202304,파주시,기타레저,1777203.0,31919.0
22.10~23.09,202304,파주시,기타숙박,601126.0,87400.0
22.10~23.09,202304,파주시,대형쇼핑몰,37356182.0,1584958.0
22.10~23.09,202304,파주시,레저용품쇼핑,2100368.0,7400.0
22.10~23.09,202304,파주시,렌터카,2899.0,
22.10~23.09,202304,파주시,문화서비스,485428.0,1076.0
22.10~23.09,202304,파주시,뷰티,1177468.0,127843.0
22.10~23.09,202304,파주시,여행업,100954.0,
22.10~23.09,202304,파주시,육상운송,13034075.0,11705.0
22.10~23.09,202304,파주시,의료관광,214897.0,35782.0
22.10~23.09,202304,파주시,일반외식업,27965897.0,257247.0
22.10~23.09,202304,파주시,제과음료업,6603293.0,53579.0
22.10~23.09,202304,파주시,캠핑장/펜션,43500.0,380.0
22.10~23.09,202304,파주시,호텔,38336.0,8395.0
22.10~23.09,202305,파주시,골프장,11109331.0,88049.0
22.10~23.09,202305,파주시,관광유원시설,442516.0,1353.0
22.10~23.09,202305,파주시,관광총소비,122954033.0,3052248.0
22.10~23.09,202305,파주시,기타관광쇼핑,17465811.0,528978.0
22.10~23.09,202305,파주시,기타레저,1826074.0,33744.0
22.10~23.09,202305,파주시,기타숙박,696370.0,111005.0
22.10~23.09,202305,파주시,대형쇼핑몰,37076456.0,1782733.0
22.10~23.09,202305,파주시,레저용품쇼핑,2049986.0,10489.0
22.10~23.09,202305,파주시,렌터카,5625.0,
22.10~23.09,202305,파주시,문화서비스,685949.0,943.0
22.10~23.09,202305,파주시,뷰티,1164984.0,120706.0
22.10~23.09,202305,파주시,여행업,191858.0,36.0
22.10~23.09,202305,파주시,육상운송,13008064.0,12963.0
22.10~23.09,202305,파주시,의료관광,240308.0,45213.0
22.10~23.09,202305,파주시,일반외식업,29762500.0,247675.0
22.10~23.09,202305,파주시,제과음료업,7104058.0,54101.0
22.10~23.09,202305,파주시,캠핑장/펜션,51889.0,506.0
22.10~23.09,202305,파주시,호텔,72253.0,13753.0
22.10~23.09,202306,파주시,골프장,11309651.0,54913.0
22.10~23.09,202306,파주시,관광유원시설,397920.0,2417.0
22.10~23.09,202306,파주시,관광총소비,109539424.0,2618751.0
22.10~23.09,202306,파주시,기타관광쇼핑,16787212.0,651531.0
22.10~23.09,202306,파주시,기타레저,1674251.0,41454.0
22.10~23.09,202306,파주시,기타숙박,600832.0,80294.0
